id,value
id_0,17.203480761671457
id_1,35.66130346807324
id_2,37.04091330133334
id_3,21.307339883895537
id_4,44.05276948639842
id_5,39.79685077015381
id_6,32.7811918226275
id_7,41.755876791868474
id_8,36.91247836496538
id_9,60.02106941634139
id_10,27.24775287928729
id_11,26.59140965496944
id_12,84.72556471024112
id_13,57.24453942159892
id_14,41.806980641790865
id_15,28.292871997640223
id_16,47.054325264429536
id_17,96.0833848528148
id_18,10.660938154224453
id_19,31.607562718639347
id_20,58.795148258492674
id_21,88.9155721032717
id_22,35.393969840539
id_23,36.29312601590505
id_24,34.358939651609965
id_25,50.99022304114261
id_26,25.252287639896526
id_27,82.5749832665842
id_28,20.49363895099856
id_29,54.60501715868743
id_30,35.37598005085423
id_31,17.615600389625897
id_32,38.113972071870265
id_33,29.164477099900523
id_34,43.68892097419286
id_35,54.13145677405792
id_36,60.09817996338994
id_37,39.981825115348286
id_38,57.12288415596805
id_39,48.80258800900796
id_40,21.824663367860552
id_41,53.86999628326392
id_42,50.49857264618414
id_43,61.06445248848625
id_44,27.873640142827888
id_45,55.7767684369806
id_46,37.48442454392398
id_47,26.688971351558358
id_48,36.054726605545596
id_49,47.174033259999746
id_50,31.34363743804295
id_51,24.134948844829438
id_52,36.03250592412168
id_53,62.64005348517894
id_54,21.21749488960456
id_55,45.20245438722968
id_56,48.634504921080946
id_57,37.59740106820368
id_58,75.17264484538363
id_59,40.45364540021963
id_60,19.01156362141493
id_61,66.79929110274097
id_62,27.067685153767364
id_63,62.68422141185851
id_64,37.65394256571519
id_65,29.202957880474894
id_66,26.011218116611893
id_67,30.907325984149644
id_68,51.92328584528023
id_69,42.2642762323029
id_70,28.026002150526416
id_71,69.10953350595278
id_72,83.8588154314387
id_73,15.908503150746405
id_74,36.209366568021515
id_75,8.253543649719255
id_76,57.76639697178192
id_77,24.992991582185176
id_78,30.170704680620645
id_79,32.999713344854925
id_80,37.16851459169599
id_81,31.85679517387507
id_82,33.9402250389657
id_83,125.12313982654422
id_84,57.98612966810845
id_85,35.62684450626816
id_86,35.84916395927827
id_87,49.23429308035707
id_88,40.962958062522475
id_89,37.91541388531501
id_90,37.23038225042943
id_91,59.12833422670403
id_92,35.709947747766755
id_93,52.86119716938096
id_94,70.2163152911076
id_95,34.114001130030715
id_96,39.55761277817961
id_97,25.295437611304912
id_98,33.54821773271483
id_99,11.51238728091382
id_100,22.527711890309874
id_101,33.89711604893826
id_102,36.32314124343494
id_103,31.18060695756313
id_104,32.30316870329993
id_105,58.12617736411366
id_106,45.871437403699346
id_107,20.512226546664657
id_108,20.23081796523026
id_109,105.97524146930046
id_110,68.61162956227597
id_111,26.329993270021113
id_112,46.53971628252327
id_113,25.422853115868733
id_114,27.917399206536274
id_115,48.8473551488447
id_116,38.918595569788394
id_117,24.991090198795035
id_118,32.10514387558956
id_119,31.84486321029973
id_120,101.07533696872852
id_121,35.75130353977403
id_122,48.544145431054865
id_123,33.793603361066566
id_124,19.468684165676596
id_125,53.56776600637893
id_126,21.022490786369815
id_127,39.30210142134005
id_128,37.775994835025045
id_129,77.32450525518595
id_130,41.69488344835462
id_131,38.588761577735454
id_132,81.54164015923948
id_133,27.338109233695292
id_134,31.729776837174327
id_135,9.254007902737008
id_136,26.041576235869968
id_137,76.84100284797981
id_138,50.92822023034178
id_139,20.000671493673703
id_140,42.36759822334958
id_141,41.33436725574863
id_142,64.24508743274696
id_143,39.47755957408885
id_144,39.25853049065295
id_145,33.51153918483799
id_146,28.189199005511327
id_147,60.658340496397244
id_148,46.70091078884638
id_149,51.99322052929351
id_150,24.090333720789545
id_151,18.568934282495512
id_152,37.603628293656506
id_153,21.9921340031892
id_154,34.38361479172843
id_155,61.62413170543257
id_156,23.64989595813846
id_157,56.60592601534812
id_158,16.045002956981204
id_159,29.82009434911566
id_160,55.544100237499215
id_161,29.730446152822157
id_162,34.37491018013046
id_163,18.731747347143887
id_164,59.15243976626256
id_165,44.78310072510251
id_166,44.28952074192673
id_167,31.433976262766695
id_168,82.73084654963614
id_169,27.79991598544658
id_170,72.77373377053638
id_171,52.075299544392784
id_172,42.736373088642864
id_173,38.13319159606259
id_174,75.44699195490934
id_175,45.03164966176756
id_176,32.81522385615196
id_177,56.36054824004736
id_178,24.642497403092037
id_179,45.86194526677803
id_180,31.02670817139707
id_181,32.173578653922945
id_182,75.24142659937351
id_183,65.11294105057365
id_184,30.145889087967955
id_185,52.305623054734816
id_186,36.421257692082165
id_187,80.94529045372023
id_188,21.00605327214953
id_189,77.67685374705407
id_190,56.26744953635155
id_191,31.910987217576
id_192,56.69967881603712
id_193,12.485747629365648
id_194,24.73818915875738
id_195,22.660709511162466
id_196,49.40161213893698
id_197,30.224818558753814
id_198,27.21545683366466
id_199,76.79187562202529
id_200,36.80162420459319
id_201,26.735613492384747
id_202,86.02081596845346
id_203,30.763180880616684
id_204,15.817164303819013
id_205,28.551101662601152
id_206,15.76848116373628
id_207,5.189255138590724
id_208,152.1441538376447
id_209,35.71914291149244
id_210,29.57940092170491
id_211,28.725347400776865
id_212,52.75747033815676
id_213,55.07534784327714
id_214,32.895843792832025
id_215,54.39687999914192
id_216,94.6101915806187
id_217,15.723943350848238
id_218,27.30063107253953
id_219,37.706408227018315
id_220,31.27451593309454
id_221,27.972614945014737
id_222,130.30930330698473
id_223,25.61601725655982
id_224,26.911608734337122
id_225,71.65761793419823
id_226,30.062681149490487
id_227,25.626662432891568
id_228,19.47829771677179
id_229,-50.87151596601214
id_230,57.2153374006884
id_231,31.538433010205726
id_232,74.36408796380479
id_233,62.6403501756081
id_234,45.633386814863684
id_235,49.17841959447537
id_236,87.25031430626181
id_237,62.39647222434226
id_238,35.380648710884806
